provider,scope,geographic_resolution,location,country,period,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url,report_year
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2025,withdrawal,14689,million US gal,55603913695.175995,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2025,discharge,3820,million US gal,14460273014.88,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2025,consumption,10869,million US gal,41143640680.296,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google operations (freshwater),,2022,consumption,4770,million US gal,18056414209.68,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google operations (freshwater),,2023,consumption,5601,million US gal,21202091402.184,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google operations (freshwater),,2024,consumption,7240,million US gal,27406381316.16,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google operations (freshwater),,2025,consumption,9947,million US gal,37653491015.448,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Hamina, Finland",FI,2024,withdrawal,3.0,million US gal,11356235.352,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Hamina, Finland",FI,2024,discharge,2.7,million US gal,10220611.8168,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Hamina, Finland",FI,2024,consumption,0.3,million US gal,1135623.5352,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Hamina, Finland",FI,2025,withdrawal,4.3,million US gal,16277270.6712,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Hamina, Finland",FI,2025,discharge,3.9,million US gal,14763105.9576,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Hamina, Finland",FI,2025,consumption,0.4,million US gal,1514164.7136,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Hanau, Germany",DE,2024,withdrawal,1.2,million US gal,4542494.1408,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Hanau, Germany",DE,2024,discharge,0.6,million US gal,2271247.0704,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Hanau, Germany",DE,2024,consumption,0.6,million US gal,2271247.0704,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Hanau, Germany",DE,2025,withdrawal,3.4,million US gal,12870400.0656,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Hanau, Germany",DE,2025,discharge,1.5,million US gal,5678117.676,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Hanau, Germany",DE,2025,consumption,1.9,million US gal,7192282.389599999,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Henderson, NV",US,2024,withdrawal,359.9,million US gal,1362369701.0616,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Henderson, NV",US,2024,discharge,152.5,million US gal,577275297.06,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Henderson, NV",US,2024,consumption,207.4,million US gal,785094404.0016,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Henderson, NV",US,2025,withdrawal,401.7,million US gal,1520599913.6327999,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Henderson, NV",US,2025,discharge,162.3,million US gal,614372332.5432,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Henderson, NV",US,2025,consumption,239.4,million US gal,906227581.0896,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Inzai, Japan",JP,2024,withdrawal,26.0,million US gal,98420706.384,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Inzai, Japan",JP,2024,discharge,7.8,million US gal,29526211.9152,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Inzai, Japan",JP,2024,consumption,18.2,million US gal,68894494.4688,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Inzai, Japan",JP,2025,withdrawal,94.6,million US gal,358099954.7664,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
