provider,scope,geographic_resolution,location,country,period,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url
Microsoft,Microsoft corporate operations (global),global,Global corporate operations,,FY21,consumption,4794.0,ML,4794000000.0,exact,Not Azure-specific; not a product or workload factor,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, third-party water source",global,Global corporate operations,,FY21,consumption,4785.0,ML,4785000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, surface water source",global,Global corporate operations,,FY21,consumption,4.0,ML,4000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, ground water source",global,Global corporate operations,,FY21,consumption,5.0,ML,5000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,Microsoft corporate operations (global),global,Global corporate operations,,FY22,withdrawal,8698.0,ML,8698000000.0,exact,Not Azure-specific; not a product or workload factor,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, third-party water source",global,Global corporate operations,,FY22,withdrawal,8657.0,ML,8657000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, surface water source",global,Global corporate operations,,FY22,withdrawal,39.0,ML,39000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, ground water source",global,Global corporate operations,,FY22,withdrawal,2.0,ML,2000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,Microsoft corporate operations (global),global,Global corporate operations,,FY22,discharge,3369.0,ML,3369000000.0,exact,Not Azure-specific; not a product or workload factor,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, third-party water source",global,Global corporate operations,,FY22,discharge,3369.0,ML,3369000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
